TSC Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,TSC_CCS Type,Latest Update Date
ACC-AUD-4003-1.1,Accountancy,Assurance,Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements,tsc,2024-12-16
ACC-AUD-5003-1.1,Accountancy,Assurance,Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements,tsc,2024-12-16
ACC-AUD-4001-1.1,Accountancy,Assurance,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc,2024-12-16
ACC-AUD-5001-1.1,Accountancy,Assurance,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc,2024-12-16
ACC-AUD-6001-1.1,Accountancy,Assurance,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc,2024-12-16
ACC-PVE-5001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc,2024-12-16
ACC-PVE-3001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc,2024-12-16
ACC-PVE-4001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc,2024-12-16
ACC-PVE-6001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc,2024-12-16
ACC-AUD-4004-1.1,Accountancy,Assurance,Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,tsc,2024-12-16
ACC-AUD-5004-1.1,Accountancy,Assurance,Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,tsc,2024-12-16
ACC-AUD-6004-1.1,Accountancy,Assurance,Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,tsc,2024-12-16
ACC-AUD-4005-1.1,Accountancy,Assurance,Engagement Execution,Perform assurance procedures in accordance with the engagement plans,tsc,2024-12-16
ACC-AUD-5005-1.1,Accountancy,Assurance,Engagement Execution,Perform assurance procedures in accordance with the engagement plans,tsc,2024-12-16
